aX,aY,aZ,gX,gY,gZ
-0.054,0.021,0.995,-7.446,-4.578,2.869
-0.060,0.017,0.990,-8.484,-6.653,2.686
-0.055,0.022,0.988,-9.399,-7.690,2.380
-0.053,0.026,0.988,-10.193,-8.911,2.502
-0.057,0.024,0.974,-10.681,-9.216,2.930
-0.054,0.021,0.957,-9.949,-8.362,2.869
-0.051,0.028,0.949,-8.484,-7.141,3.174
-0.045,0.036,0.953,-6.714,-6.470,3.967
-0.045,0.037,0.945,-4.639,-7.080,5.066
-0.045,0.027,0.934,-2.258,-5.798,5.615
-0.036,0.020,0.935,0.244,-3.296,5.432
-0.029,0.008,0.944,1.465,-1.648,5.066
-0.024,0.004,0.946,1.648,-1.709,4.333
-0.021,0.004,0.951,0.916,-2.747,3.723
-0.011,0.008,0.949,-0.122,-4.395,3.418
-0.014,0.007,0.939,-0.854,-6.104,3.235
-0.013,0.010,0.931,-0.977,-6.714,2.930
-0.013,0.016,0.928,-0.610,-7.019,2.930
-0.014,0.016,0.924,0.000,-6.775,3.418
-0.014,0.020,0.926,0.610,-5.737,3.906
-0.016,0.027,0.925,1.526,-5.127,4.211
-0.019,0.033,0.920,2.808,-4.272,4.761
-0.022,0.036,0.914,3.967,-3.052,5.188
-0.024,0.033,0.911,4.700,-2.197,5.737
-0.027,0.028,0.906,4.761,-1.099,5.981
-0.028,0.022,0.915,4.272,-0.427,5.737
-0.028,0.021,0.930,3.296,-1.038,5.371
-0.030,0.028,0.937,1.953,-3.235,5.493
-0.039,0.030,0.937,1.709,-4.395,6.104
-0.046,0.032,0.932,2.380,-3.967,6.287
-0.046,0.029,0.936,3.540,-2.563,5.981
-0.044,0.021,0.949,3.967,-1.465,5.310
-0.046,0.019,0.958,3.357,-1.892,4.578
-0.047,0.021,0.971,1.465,-4.150,3.906
-0.047,0.018,0.973,-0.793,-7.324,3.723
-0.056,0.014,0.962,-2.625,-10.010,3.784
-0.061,0.014,0.952,-3.296,-11.108,3.601
-0.062,0.018,0.946,-3.296,-10.620,3.723
-0.061,0.020,0.943,-2.869,-9.216,4.150
-0.055,0.015,0.939,-2.319,-8.118,5.127
-0.051,0.012,0.935,-1.404,-6.653,5.859
-0.043,0.012,0.927,0.061,-4.944,6.409
-0.037,0.009,0.918,1.770,-3.723,6.592
-0.028,0.009,0.913,2.991,-2.197,6.287
